epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,74818.2,1.07855,0.92346,1.27568,0.9448,0.82958,0.87567,0.74839,0.59716,0.50396,1.16093,0.005842,0.005842,0.005842
44,76582.1,1.07957,0.90717,1.27097,0.93695,0.83601,0.87835,0.74669,0.59319,0.50685,1.14421,0.005743,0.005743,0.005743
45,78181.1,1.07984,0.9143,1.26882,0.94156,0.8289,0.86946,0.74197,0.5814,0.48691,1.14444,0.005644,0.005644,0.005644
46,79769.8,1.07968,0.90853,1.2705,0.94062,0.83441,0.88164,0.75378,0.60453,0.50668,1.17443,0.005545,0.005545,0.005545
47,81372.1,1.07837,0.89849,1.26291,0.95218,0.82154,0.88358,0.7647,0.60133,0.52143,1.16039,0.005446,0.005446,0.005446
48,83015.9,1.07302,0.88993,1.26363,0.94986,0.82237,0.87404,0.75556,0.59807,0.50728,1.15437,0.005347,0.005347,0.005347
49,84668,1.05959,0.88295,1.24997,0.93821,0.82994,0.87645,0.75384,0.60196,0.52283,1.16445,0.005248,0.005248,0.005248
50,86474.5,1.06451,0.87894,1.25513,0.94448,0.82044,0.87797,0.74742,0.59718,0.50162,1.17296,0.005149,0.005149,0.005149
51,88266.1,1.05691,0.87955,1.25489,0.94243,0.82958,0.87495,0.7528,0.58077,0.50425,1.14495,0.00505,0.00505,0.00505
52,90081.9,1.06468,0.87855,1.25401,0.93859,0.83119,0.8731,0.74113,0.61276,0.51016,1.16788,0.004951,0.004951,0.004951
53,91878.6,1.05819,0.87296,1.25198,0.93936,0.82192,0.87608,0.7432,0.59862,0.50305,1.16091,0.004852,0.004852,0.004852
54,93606.1,1.05854,0.86251,1.25376,0.94543,0.82315,0.87264,0.75026,0.5918,0.50602,1.15268,0.004753,0.004753,0.004753
55,95293.9,1.06143,0.86351,1.25205,0.94142,0.82674,0.8707,0.74286,0.60245,0.50221,1.16487,0.004654,0.004654,0.004654
56,97080,1.04499,0.85097,1.24576,0.94475,0.82472,0.87287,0.74472,0.60682,0.52103,1.16588,0.004555,0.004555,0.004555
57,98754.9,1.04886,0.85517,1.24935,0.93924,0.82016,0.8728,0.73981,0.60738,0.52029,1.1626,0.004456,0.004456,0.004456
58,100516,1.04402,0.85168,1.2439,0.94114,0.82264,0.87952,0.74609,0.60314,0.51699,1.16237,0.004357,0.004357,0.004357
59,102262,1.04311,0.85457,1.24245,0.94176,0.82476,0.88031,0.75645,0.59701,0.50975,1.15445,0.004258,0.004258,0.004258
